name,schluessel,gemeinde,gmdschl,bbox
Oppenwehe,52787,Stemwede,5770044,"(464749.1, 5811200.62, 470648.26, 5818415.6)"
Ovenstädt,52788,Petershagen,5770028,"(495589.17, 5805347.98, 499350.61, 5809130.8)"
Päpinghausen,52789,Minden,5770024,"(497641.85, 5794314.21, 499884.18, 5797585.69)"
Preußisch Oldendorf,52791,Preußisch Oldendorf,5770036,"(463810.63, 5792524.74, 466005.73, 5795745.37)"
Quetzen,52793,Petershagen,5770028,"(500152.78, 5798772.08, 504976.65, 5801588.4)"
Rahden,52795,Rahden,5770040,"(471836.24, 5806724.39, 476420.38, 5810625.85)"
Rosenhagen,52797,Petershagen,5770028,"(505824.93, 5804018.53, 508514.56, 5806836.88)"
Rothenuffeln,52798,Hille,5770012,"(484384.77, 5790281.59, 488003.91, 5794492.18)"
Schröttinghausen,52801,Preußisch Oldendorf,5770036,"(461912.21, 5796379.52, 464370.0, 5801977.17)"
Seelenfeld,52802,Petershagen,5770028,"(503850.06, 5808607.78, 507622.85, 5810697.74)"
Sielhorst,52803,Rahden,5770040,"(469758.72, 5810483.3, 473461.14, 5816049.6)"
Südfelde,52805,Petershagen,5770028,"(490236.58, 5800906.52, 493571.12, 5803456.49)"
Südhemmern,52806,Hille,5770012,"(483508.97, 5795258.45, 486980.85, 5801872.25)"
Sundern,52807,Stemwede,5770044,"(457563.55, 5802871.63, 461887.53, 5806304.97)"
Tengern,52808,Hüllhorst,5770016,"(477907.01, 5788339.83, 480878.65, 5790910.97)"
Schmalge,52810,Espelkamp,5770008,"(475410.07, 5803330.32, 480815.83, 5806865.67)"
Tonnenheide,52811,Rahden,5770040,"(475681.95, 5804965.89, 480844.54, 5810299.66)"
Twiehausen,52812,Stemwede,5770044,"(465152.0, 5802747.06, 469751.05, 5809705.4)"
Unterlübbe,52813,Hille,5770012,"(482881.22, 5792687.64, 485755.61, 5795845.13)"
Varl,52814,Rahden,5770040,"(467283.01, 5804752.49, 472041.81, 5812768.91)"
Vehlage,52815,Espelkamp,5770008,"(467100.14, 5800700.7, 471659.41, 5804871.36)"
Veltheim,52816,Porta Westfalica,5770032,"(495479.44, 5781172.66, 499624.91, 5786028.88)"
Vennebeck,52817,Porta Westfalica,5770032,"(489197.01, 5783951.43, 492846.28, 5786113.39)"
Wasserstraße,52819,Petershagen,5770028,"(504555.95, 5811050.37, 509394.79, 5816488.55)"
Wehe,52821,Rahden,5770040,"(475091.92, 5809450.42, 480378.38, 5816918.09)"
Westrup,52823,Stemwede,5770044,"(460526.9, 5806021.65, 463251.07, 5810161.26)"
Wietersheim,52824,Petershagen,5770028,"(495083.53, 5796516.75, 498728.01, 5800839.66)"
Windheim,52825,Petershagen,5770028,"(498415.78, 5805358.66, 502688.83, 5808532.97)"
Wülpke,52826,Porta Westfalica,5770032,"(500094.66, 5786499.29, 502080.8, 5789099.0)"
Altenhagen,52851,Bielefeld,5711000,"(473502.41, 5765376.97, 476916.83, 5768013.42)"
Babenhausen,52852,Bielefeld,5711000,"(463506.69, 5766340.01, 466729.66, 5768454.24)"
Gadderbaum,52857,Bielefeld,5711000,"(466367.25, 5759803.48, 469025.96, 5762765.37)"
Holtkamp,52862,Bielefeld,5711000,"(457261.08, 5756479.69, 460053.89, 5758454.72)"
Kirchdornberg,52865,Bielefeld,5711000,"(460286.92, 5764375.14, 462877.62, 5766676.34)"
Milse,52867,Bielefeld,5711000,"(472030.77, 5766098.84, 474625.58, 5768599.87)"
Quelle,52870,Bielefeld,5711000,"(462093.4, 5758837.7, 465901.84, 5763150.64)"
Schröttinghausen,52871,Bielefeld,5711000,"(462830.21, 5768850.41, 465820.38, 5771235.27)"
Senne I,52872,Bielefeld,5711000,"(463343.54, 5751685.3, 470696.33, 5760058.89)"
Sennestadt,52873,Bielefeld,5711000,"(467870.3, 5751737.28, 474958.59, 5759150.77)"
Theesen,52874,Bielefeld,5711000,"(465706.65, 5767677.91, 469019.89, 5770300.99)"
Ubbedissen,52875,Bielefeld,5711000,"(473835.12, 5758031.92, 476817.99, 5763242.52)"
Ummeln,52876,Bielefeld,5711000,"(459821.01, 5755027.33, 464578.99, 5759952.7)"
Vilsendorf,52877,Bielefeld,5711000,"(467763.17, 5767539.05, 470579.23, 5770654.49)"
Ahden,52901,Büren,5774016,"(471205.79, 5714680.33, 475016.04, 5720147.9)"
Alfen,52902,Borchen,5774012,"(477059.79, 5718293.04, 481252.76, 5724919.76)"
Anreppen,52904,Delbrück,5774020,"(469577.07, 5730580.81, 474281.77, 5735340.33)"
Asseln,52905,Lichtenau,5774028,"(492991.08, 5720662.66, 499017.68, 5725272.04)"
Barkhausen,52908,Büren,5774016,"(468113.03, 5704315.87, 471607.3, 5708385.83)"
Benhausen,52909,Paderborn,5774032,"(485317.13, 5728965.39, 489772.56, 5733497.15)"
Bentfeld,52910,Delbrück,5774020,"(472485.61, 5730549.33, 475446.64, 5735755.79)"
Blankenrode,52911,Lichtenau,5774028,"(491008.28, 5708669.51, 496745.56, 5713551.39)"
Dahl,52917,Paderborn,5774032,"(486504.54, 5724700.61, 492473.8, 5729892.36)"
Dalheim,52918,Lichtenau,5774028,"(487053.2, 5710410.71, 492660.92, 5714403.63)"
Delbrück,52919,Delbrück,5774020,"(467282.12, 5732241.6, 473247.48, 5737963.44)"
Dörenhagen,52920,Borchen,5774012,"(485544.42, 5719869.68, 490303.4, 5727207.2)"
Ebbinghausen,52921,Lichtenau,5774028,"(488171.72, 5717639.58, 490794.74, 5721077.39)"
Eickhoff,52922,Büren,5774016,"(463446.15, 5710234.15, 466300.41, 5713322.3)"
Elisenhof,52923,Bad Wünnenberg,5774040,"(485883.39, 5709605.42, 489342.29, 5712074.59)"
Grundsteinheim,52927,Lichtenau,5774028,"(489327.76, 5720662.66, 493164.56, 5725135.67)"
Hakenberg,52930,Lichtenau,5774028,"(493797.13, 5719020.88, 499196.14, 5722590.64)"
Helmern,52933,Bad Wünnenberg,5774040,"(481945.82, 5710407.45, 486942.35, 5715443.98)"
Henglarn,52934,Lichtenau,5774028,"(481847.22, 5713572.25, 486719.36, 5719123.11)"
Herbram,52935,Lichtenau,5774028,"(491736.96, 5722797.39, 497556.52, 5727772.7)"
Iggenhausen,52939,Lichtenau,5774028,"(490859.84, 5721268.66, 494269.39, 5725811.95)"
Mantinghausen,52944,Salzkotten,5774036,"(463256.21, 5727497.49, 466804.18, 5730508.59)"
Neuenbeken,52946,Paderborn,5774032,"(488574.22, 5729661.52, 493133.87, 5734828.95)"
Oberntudorf,52949,Salzkotten,5774036,"(473968.96, 5719195.52, 477854.42, 5723153.54)"
